dataset,ngram_1_within,ngram_2_within,ngram_3_within,ngram_4_within,ngram_1_cross_jaccard,ngram_2_cross_jaccard,ngram_3_cross_jaccard,ngram_4_cross_jaccard,mean_embedding_cosine,vendi_score,task2vec_div_coeff
c4,0.20007265259439488,0.7131227731689057,0.9213388952648124,0.9696497002581818,0.643594580990286,0.9165137215932996,0.9792614993186325,0.9948770347157103,0.00010233866904066592,1.3656455278396606,
wikitext,0.214819314824224,0.6892771639014572,0.901187336572808,0.9633738243614124,0.6670064096644915,0.9189791688450396,0.9762105574997674,0.9914801007468644,0.00021722656379401603,1.4432379007339478,
the_pile,0.19140888340223103,0.6637845462593088,0.8554980513185731,0.9174451613506439,0.6384414917157127,0.9160596605543785,0.973528676748751,0.9879651576575281,0.00024781894016372873,1.6034281253814697,
pubmed,0.14639719251497152,0.6199739333503994,0.861536971590084,0.9355536504378164,0.5440742586015179,0.8741772896200134,0.9645731484279498,0.9890063289008483,0.00017182977676893343,1.4291915893554688,
uspto,0.11638593518820374,0.5251278889820187,0.7905965660947237,0.8875078289497818,0.5474539020707856,0.8618082111003739,0.95323437445586,0.9818940869417062,0.00012776928389146664,1.4901362657546997,
openwebtext,0.19078018188476562,0.6884078186515746,0.9016598462301586,0.9613501562500001,0.6397231898172409,0.910229542732437,0.9747847988534307,0.9905737044365344,0.00014401741277028112,1.4395841360092163,
